f1m1,frc272,frc2590,frc341,frc1647,frc25,frc2234,
f1m2,frc341,frc2590,frc272,frc1647,frc2234,frc25,
qf1m1,frc2590,frc341,frc272,frc1640,frc1218,frc2729,
qf1m2,frc272,frc341,frc2590,frc1218,frc1640,frc2729,
qf2m1,frc357,frc3974,frc4954,frc2016,frc2539,frc303,
qf2m2,frc357,frc4954,frc3974,frc2539,frc2016,frc303,
qf2m3,frc3974,frc357,frc4954,frc2539,frc303,frc2016,
qf3m1,frc709,frc2607,frc486,frc708,frc304,frc5113,
qf3m2,frc709,frc2607,frc486,frc708,frc304,frc5113,
qf4m1,frc25,frc2234,frc1647,frc1712,frc834,frc103,
qf4m2,frc1647,frc2234,frc25,frc834,frc103,frc1712,
qm1,frc341,frc1647,frc3167,frc1807,frc357,frc3974,
qm10,frc2607,frc272,frc357,frc2539,frc87,frc1791,
qm11,frc1640,frc2234,frc834,frc1391,frc709,frc5181,
qm12,frc5113,frc103,frc1807,frc1712,frc4128,frc1495,
qm13,frc303,frc1218,frc2590,frc4750,frc3167,frc433,
qm14,frc304,frc486,frc1391,frc2016,frc4373,frc272,
qm15,frc2729,frc2234,frc2539,frc4128,frc1168,frc1807,
qm16,frc303,frc341,frc4342,frc1218,frc87,frc816,
qm17,frc1712,frc5181,frc708,frc3167,frc1495,frc4637,
qm18,frc2016,frc25,frc2607,frc834,frc433,frc1647,
qm19,frc3974,frc304,frc1640,frc5113,frc1791,frc3151,
qm2,frc4373,frc2607,frc1495,frc304,frc2729,frc1218,
qm20,frc357,frc4750,frc2590,frc4954,frc103,frc709,
qm21,frc2234,frc4637,frc1807,frc4373,frc25,frc816,
qm22,frc1647,frc5181,frc87,frc433,frc1218,frc272,
qm23,frc2590,frc1640,frc4128,frc1791,frc1495,frc708,
qm24,frc357,frc834,frc709,frc2607,frc1168,frc2539,
qm25,frc2729,frc3974,frc341,frc1712,frc4750,frc303,
qm26,frc1391,frc103,frc3151,frc3167,frc2016,frc4342,
qm27,frc486,frc5113,frc1218,frc4954,frc304,frc1807,
qm28,frc708,frc709,frc4750,frc4373,frc1640,frc5181,
qm29,frc303,frc433,frc25,frc357,frc2016,frc3151,
qm3,frc1168,frc4637,frc1791,frc1391,frc2234,frc4750,
qm30,frc272,frc5113,frc304,frc103,frc2729,frc1168,
qm31,frc1712,frc1647,frc1791,frc2234,frc4342,frc4128,
qm32,frc486,frc4954,frc2590,frc2539,frc341,frc816,
qm33,frc3167,frc87,frc2607,frc1391,frc3974,frc4637,
qm34,frc1495,frc304,frc357,frc834,frc1712,frc4342,
qm35,frc2539,frc2016,frc433,frc25,frc1807,frc1791,
qm36,frc3974,frc486,frc272,frc1640,frc816,frc709,
qm37,frc87,frc4637,frc3151,frc1647,frc2729,frc2590,
qm38,frc3167,frc4128,frc4954,frc4750,frc834,frc5181,
qm39,frc4373,frc1168,frc1218,frc5113,frc1391,frc303,
qm4,frc486,frc816,frc834,frc3151,frc708,frc433,
qm40,frc2234,frc708,frc2607,frc1495,frc103,frc341,
qm41,frc1712,frc1640,frc4637,frc3167,frc1791,frc834,
qm42,frc486,frc4373,frc4750,frc5181,frc357,frc5113,
qm43,frc87,frc433,frc2729,frc2234,frc341,frc272,
qm44,frc1391,frc4342,frc4954,frc2539,frc303,frc1495,
qm45,frc3151,frc709,frc1807,frc1647,frc708,frc103,
qm46,frc25,frc1218,frc3974,frc304,frc1168,frc2590,
qm47,frc816,frc2607,frc2729,frc2016,frc4128,frc4750,
qm48,frc341,frc4637,frc834,frc4342,frc5113,frc1640,
qm49,frc1791,frc357,frc303,frc708,frc1807,frc2590,
qm5,frc1712,frc4954,frc87,frc25,frc103,frc1640,
qm50,frc1391,frc4373,frc433,frc4128,frc3974,frc103,
qm51,frc25,frc272,frc1712,frc2234,frc3151,frc486,
qm52,frc2539,frc5181,frc3167,frc304,frc1647,frc816,
qm53,frc1495,frc2016,frc1218,frc1168,frc87,frc709,
qm54,frc4954,frc2234,frc4373,frc2607,frc4342,frc2590,
qm55,frc304,frc5181,frc103,frc708,frc303,frc834,
qm56,frc1807,frc433,frc816,frc1712,frc1168,frc1391,
qm57,frc2607,frc5113,frc4750,frc25,frc1647,frc2539,
qm58,frc486,frc1640,frc3167,frc87,frc341,frc2016,
qm59,frc709,frc3974,frc1791,frc1495,frc2729,frc4954,
qm6,frc272,frc5181,frc4342,frc2590,frc5113,frc709,
qm60,frc3151,frc272,frc4128,frc4637,frc357,frc1218,
qm61,frc1391,frc25,frc834,frc4750,frc304,frc341,
qm62,frc1168,frc2016,frc5113,frc2234,frc3167,frc3974,
qm63,frc2539,frc1712,frc3151,frc709,frc4373,frc4637,
qm64,frc103,frc4342,frc1791,frc5181,frc2729,frc486,
qm65,frc1647,frc4128,frc357,frc2590,frc272,frc1495,
qm66,frc87,frc303,frc1807,frc433,frc1640,frc4954,
qm67,frc816,frc708,frc5113,frc2607,frc1218,frc1712,
qm68,frc1495,frc1168,frc5181,frc2590,frc25,frc3151,
qm69,frc4750,frc4342,frc1807,frc87,frc3974,frc834,
qm7,frc4128,frc2539,frc4637,frc303,frc2016,frc486,
qm70,frc2729,frc1391,frc2016,frc357,frc4954,frc708,
qm71,frc4373,frc3167,frc304,frc2234,frc709,frc433,
qm72,frc303,frc1647,frc1640,frc2607,frc486,frc4128,
qm73,frc103,frc816,frc4637,frc1791,frc341,frc1218,
qm74,frc2539,frc834,frc4954,frc272,frc3167,frc2729,
qm75,frc304,frc709,frc25,frc87,frc708,frc4128,
qm76,frc433,frc3974,frc1168,frc486,frc4342,frc4637,
qm77,frc2590,frc2016,frc1791,frc5113,frc4373,frc1712,
qm78,frc4750,frc1495,frc1647,frc303,frc816,frc272,
qm79,frc1218,frc2234,frc103,frc357,frc1640,frc2539,
qm8,frc4954,frc1168,frc341,frc1647,frc4373,frc3151,
qm80,frc5181,frc341,frc3151,frc1807,frc1391,frc2607,
qm9,frc2729,frc25,frc708,frc4342,frc3974,frc816,
sf1m1,frc272,frc2590,frc341,frc3974,frc357,frc4954,
sf1m2,frc272,frc2590,frc341,frc357,frc4954,frc3974,
sf2m1,frc709,frc2607,frc486,frc25,frc1647,frc2234,
sf2m2,frc486,frc709,frc1391,frc1647,frc2234,frc25,
