1,341,1647,3167,1807,357,3974,
10,2607,272,357,2539,87,1791,
11,1640,2234,834,1391,709,5181,
12,5113,103,1807,1712,4128,1495,
13,303,1218,2590,4750,3167,433,
14,304,486,1391,2016,4373,272,
15,2729,2234,2539,4128,1168,1807,
16,303,341,4342,1218,87,816,
17,1712,5181,708,3167,1495,4637,
18,2016,25,2607,834,433,1647,
19,3974,304,1640,5113,1791,3151,
2,4373,2607,1495,304,2729,1218,
20,357,4750,2590,4954,103,709,
21,2234,4637,1807,4373,25,816,
22,1647,5181,87,433,1218,272,
23,2590,1640,4128,1791,1495,708,
24,357,834,709,2607,1168,2539,
25,2729,3974,341,1712,4750,303,
26,1391,103,3151,3167,2016,4342,
27,486,5113,1218,4954,304,1807,
28,708,709,4750,4373,1640,5181,
29,303,433,25,357,2016,3151,
3,1168,4637,1791,1391,2234,4750,
30,272,5113,304,103,2729,1168,
31,1712,1647,1791,2234,4342,4128,
32,486,4954,2590,2539,341,816,
33,3167,87,2607,1391,3974,4637,
34,1495,304,357,834,1712,4342,
35,2539,2016,433,25,1807,1791,
36,3974,486,272,1640,816,709,
37,87,4637,3151,1647,2729,2590,
38,3167,4128,4954,4750,834,5181,
39,4373,1168,1218,5113,1391,303,
4,486,816,834,3151,708,433,
40,2234,708,2607,1495,103,341,
41,1712,1640,4637,3167,1791,834,
42,486,4373,4750,5181,357,5113,
43,87,433,2729,2234,341,272,
44,1391,4342,4954,2539,303,1495,
45,3151,709,1807,1647,708,103,
46,25,1218,3974,304,1168,2590,
47,816,2607,2729,2016,4128,4750,
48,341,4637,834,4342,5113,1640,
49,1791,357,303,708,1807,2590,
5,1712,4954,87,25,103,1640,
50,1391,4373,433,4128,3974,103,
51,25,272,1712,2234,3151,486,
52,2539,5181,3167,304,1647,816,
53,1495,2016,1218,1168,87,709,
54,4954,2234,4373,2607,4342,2590,
55,304,5181,103,708,303,834,
56,1807,433,816,1712,1168,1391,
57,2607,5113,4750,25,1647,2539,
58,486,1640,3167,87,341,2016,
59,709,3974,1791,1495,2729,4954,
6,272,5181,4342,2590,5113,709,
60,3151,272,4128,4637,357,1218,
61,1391,25,834,4750,304,341,
62,1168,2016,5113,2234,3167,3974,
63,2539,1712,3151,709,4373,4637,
64,103,4342,1791,5181,2729,486,
65,1647,4128,357,2590,272,1495,
66,87,303,1807,433,1640,4954,
67,816,708,5113,2607,1218,1712,
68,1495,1168,5181,2590,25,3151,
69,4750,4342,1807,87,3974,834,
7,4128,2539,4637,303,2016,486,
70,2729,1391,2016,357,4954,708,
71,4373,3167,304,2234,709,433,
72,303,1647,1640,2607,486,4128,
73,103,816,4637,1791,341,1218,
74,2539,834,4954,272,3167,2729,
75,304,709,25,87,708,4128,
76,433,3974,1168,486,4342,4637,
77,2590,2016,1791,5113,4373,1712,
78,4750,1495,1647,303,816,272,
79,1218,2234,103,357,1640,2539,
8,4954,1168,341,1647,4373,3151,
80,5181,341,3151,1807,1391,2607,
9,2729,25,708,4342,3974,816,
